
""" продукта";""" of the product"
""" будет удалена!";""" will be deleted!"
""". Изменить на состояние формирования?";""".Shift to the formation mode?"
( ошибка соединения;( Connection error server
( ошибка на сервере;( Error on the server
-;*** -
Клиент %e_client_sid_p ### Каналы %channel_data ### Параметры %option### Период c %e_date_from_p по %e_date_to_p### ### Данные %data###;*** Клиент %e_client_sid_p ### Каналы %channel_data ### Параметры %option### Период c %e_date_from_p по %e_date_to_p### ### Данные %data###
по;*** until
с;*** from
""" из системы?";"***"" from the system?"
"""Клонирование"" сетки c главного канала";"***""Cloning"" grid from main channel"
% надбавки для премиум позиций размещаемых по остаточному принципу;***% надбавки для премиум позиций размещаемых по остаточному принципу
% надбавки для приоритетных премиум позиций;***% markups for priority premium items
% нпр;***% нпр
% плаванья;***% плаванья
%d записей обновлено;***%d updated records
%Общая скидка;***%overall discount
&Администратор;***&Administrator
&Далее >;***&Next >
&Множественные подключения;***&Multiple connections
&Отображать;***&Display
&Помощь;***&Help
&Правка;***&Edit
&Сетка;***&Grid
..\shared\Templates\breakrating.xls;***..\shared\Templates\breakrating.xls
..\Shared\Templates\ForwardInfo.xls;***..\Shared\Templates\ForwardInfo.xls
..\shared\Templates\mountGrid11.xlsm;***..\shared\Templates\mountGrid11.xlsm
..\shared\Templates\mountgrid_ims.xls;***..\shared\Templates\mountgrid_ims.xls
..\shared\Templates\mountGridATV.xls;***..\shared\Templates\mountGridATV.xls
..\Shared\Templates\mountGridKz1.xls;***..\Shared\Templates\mountGridKz1.xls
..\Shared\Templates\mountGridKz2.xls;***..\Shared\Templates\mountGridKz2.xls
..\Shared\Templates\reportOrdersReference.xls;***..\Shared\Templates\reportOrdersReference.xls
.wgrp;***.wgrp
1;***1
1 ч;***1 h
2;***2
24 ч;***24 h
24 часа;***24 hours
24ч;***24h
3;***3
30 мин;***30 min
48 часов;***48 hours
48ч;***48 hours
5;***5
< &Назад;***< &Back
основной;***main
региональный;***regional
#ИМЯ?;
;***
ClientMediaPlan2.xls;***ClientMediaPlan2.xls
CPP;***CPP
end Time;***end Time
Excel files |*.xls*|Все файлы |*.*;***Excel files |*.xls*|Все файлы |*.*
float;***float
Float заказ;***Float order
Float не подтверждены.;***Float not confirmed.
float размещения подтверждены;***float placements confirmed
Ftp импорт...;***Ftp import...
GUDI премиум правила;***GUDI premium conditions
GUID блока;***GUID of block
GUID видео;***GUID of video
GUID заказа;***GUID of order
GUID кассеты;***GUID of cassette
GUID кат;***GUID кат
GUID категории вставки;***GUID of spot catogory
GUID клипа;***GUID of clip
GUID передачи;***GUID of program
GUID прем;***GUID prem
GUID премиум позиции;***GUID premium items
GUID размещения;***GUID placements
GUID ролика;***GUID of clip
hard привязка;***hard binding
Harris files |*.log|Play list файлы|*.ply|Все файлы |*.*;***Harris files |*.log|Play list файлы|*.ply|Все файлы |*.*
Harris файлы|*.log|Все файлы|*.*;***Harris файлы|*.log|Все файлы|*.*
Harris формата;***Harris формата
ID видео;***ID of video
ID видео-медиа;***ID of video-media
ID видео-продукта;***ID of video-product
ID видеособытия;***ID of video event
ID внешний;***ID external
Id вставки;***Id spot
ID города;***ID city
ID Заказа;***ID order
ID кассеты;***ID cassette
ID кат. прод.;***ID prod. Cat.
ID категории;***ID of category
ID категории продукта;***ID of product category
ID категории рекламируемого продукта;***ID категории рекламируемого продукта
ID клипа;***ID of clip
ID маркера;***ID of marker
ID основного события;***ID of the main event
Id пользователя;***Id user
ID программы;***ID of program
ID продукта;***ID of product 
ID производителя;***ID of producer
ID рек.продукта;***ID of adv. Prod.
ID рекламируемого продукта;***ID of advertised product
ID рекламодателя;***ID of advertiser
ID ролика;***ID of clip
ID события;***ID of event
Id соединения;***Id of connection
ID типа;***ID of type
ID фикс;***ID фикс
ID фикс.;***ID фикс.
ID шаблона;***ID of layout
IDзаказа;***ID of order
IN (Начало на носителе);***IN (Start on the carrier)
IP адрес клиента;***IP address of the client
off=off-prime;***off=off-prime
R (прогн.);***R (прогн.)
reportCostByClientsAndAdvertisersExt.xls;***reportCostByClientsAndAdvertisersExt.xls
SID канала;***SID of channel
SID клиентa;***SID of client
SID клиента;***SID of client
Spot (по времени);***Spot (by time)
Spot (по передаче);***Spot (by program)
TCP/IP адрес клиента обслуживаемого сессией;****** TCP / IP address of the client serviced by the session
uID видео;***uID of video
UID видео-продукта;***UID of video product
uID Видеоматериала;***uID of video material
uID заказа;***uID of order
UID каcсеты;***UID of cassette
uId кассеты;***UID of cassette
UID клипа;***UID of clip
uID ролика;***uID of clip 
uId условия;***uId of condition
WGRP(прогн.);***WGRP(forecast)
Xls формата;***Xls format
